code1,code2
S10,S50
K31,R59
A04,H50
C71,C75
K11,T46
L60,N50
H73,L89
N39,R49
N39,Y49
D58,R64
E21,F34
E83,L50
D18,L82
C43,R11
D69,R13
A41,W17
I45,K86
I70,R79
B25,I26
E86,G91
F60,K30
N28,T82
M81,T15
A48,R60
B40,K52
B35,L63
D68,K51
C20,C22
I10,I82
D33,I69
L85,R21
S44,S49
T17,T90
I95,T82
A53,R60
H83,Q39
A07,J45
E22,K27
K52,K59
H36,J02
M19,N35
E16,M76
M06,M84
D31,H25
D21,Q84
F07,G63
D58,I80
A42,A51
I49,R25
K75,N25
A40,K27
D35,K50
D75,R63
M15,R26
E03,K07
C84,R53
H26,R63
K20,R45
E87,S41
M76,N61
G43,G44
B87,H01
I26,Q74
C03,D11
D16,R82
J43,M76
F33,R25
D84,R59
I87,L20
I82,Q44
I10,I77
R82,T70
J30,K29
C22,J44
K52,N63
A67,I44
Q43,T42
I73,Y87
D32,H90
K29,K63
H35,M93
D15,D62
K29,Q34
E87,G62
G60,K28
K29,R15
C23,D62
G62,K03
J03,K92
L30,R94
K30,K59
D69,D72
I65,N28
D51,R64
L60,N30
C12,D61
D10,F50
N13,N32
C15,I87
L94,Q89
A77,E86
D47,R20
G20,R09
S37,Y53
F39,F63
G91,I87
C78,K91
N34,R07
M20,M94
A41,G56
F33,R47
H25,M25
H91,K20
K56,K82
I74,M14
K31,R13
O87,P10
C73,F91
D64,J18
D11,K13
C70,N39
Q06,Y65
D64,R33
C06,D61
E83,S80
N41,R59
D32,E22
D51,I80
F20,N19
I25,J18
A71,C33
H53,T46
I25,R33
J64,N00
G93,S06
J96,T27
K30,N63
A27,M13
I49,K14
A52,T28
F72,R09
H33,I48
F34,K07
H01,R09
A41,C76
I83,Q27
J01,K21
G81,T37
D65,K85
H54,Y36
J98,R31
A53,H53
B35,D69
K25,M41
I77,L85
R55,S49
K36,T66
B02,O82
B55,D50
D89,K56
G41,L55
J42,T28
F33,K14
K04,L94
A07,I13
I11,R95
S04,T16
I24,J41
E83,R51
C81,K92
G25,J39
T38,T85
S41,T04
M05,N19
N19,Y55
H74,I69
D50,J21
G70,H40
E05,G30
C76,E83
A59,I80
B80,R54
D02,J44
A69,M89
D21,K44
C78,J70
F48,R25
J15,Q27
E03,L85
S10,V97
