umls	mesh	icd10	level_2_icd10
C0026266	D008944	I34.0	I34
C0027121	D009220	M60|M60.9	M60
C0005937	D001845	M85.4	M85
C0027066	D009207	G25.3	G25
C1328252	D007897	B55.2	B55
C0043144	D012135	R06.2	R06
C0019521	D006606	R06.6	R06
C0748830	D020205	S02.1	S02
C0029456	D010024	M81.9	M81
C0025229	D008554	A24.4	A24
C0494827	D062027	L12.2	L12
C0039106	D013586	M12.2	M12
C0007775	D002537	I67.2	I67
C0152096	D000073842	Q91.3	Q91
C4551903	D012587	Q26.2	Q26
C0012739	D004211	D65	D65
C0020456	D006943	R73.9	R73
C0032989	D011272	O30|O30.9	O30
C5235087	D003453	B45.9	B45
C0221033	C535318	Q97.0	Q97
C0022362	D007571	K10.9	K10
C0027868	D009468	G70.9	G70
C0016632	D005588	L75.2	L75
C0022353	D007567	P59.9	P59
C0036986	D012774	T79.4	T79
C0206504	D018058	H72|H72.9	H72
C0024473	D008275	E61.2	E61
C0037928	D013118	G95.9	G95
C0006111	D001927	G93.9	G93
C0042979	D014843	F65.3	F65
C0038034	D013174	B42|B42.9	B42
C0013292	D004380	K31.5	K31
C0155503	D014717	H81.4	H81
C0600327	D012772	A48.3	A48
C0002726	D000686	E85|E85.9	E85
C0006285	D001996	J18.0	J18
C0496836	D005134	C69.9	C69
C0028309	D009631	K09.1	K09
C0023652	D018459	L90.0	L90
C0025637	D008708	D74|D74.9	D74
C0034084	D011662	Q24.3	Q24
C0233407	D003221	R41.0	R41
C0019123	D006491	J94.2	J94
C0277356	D058285	B88.1	B88
C0024788	D008379	A98.3	A98
C0032273	D011009	J64	J64
C0162323	D001168	M05-M14.9|M06.4|M13.0	M05-M14|M06|M13
C0001948	D000428	Z72.1	Z72
C0919833	D018354	B33.1	B33
C0004153	D001161|D050197	I25.0|I70	I25|I70
C0014013	D016724	J86	J86
C0014752	D004894	L08.1	L08
C0282192	D006478	A96.1	A96
C0032969	D011254	O24|O24.9	O24
C0035450	D012218	M06.3	M06
C0030846	D010409	N48.9	N48
C1136085	D010265	D47.2	D47
C0221348	D056684	L60.5	L60
C0017677	D005929	K14.1	K14
C1449721	D006177	P83.4	P83
