umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0027888	356.1	G60.0	356	G60
C0156380	622.4	N88.2	622	N88
C0395849	384.1	H73.1	384	H73
C0342054	671.23	O22.2	671	O22
C0080174	756.17	Q76.0	756	Q76
C0040147	245|245.9	E06|E06.9	245	E06
C0155535	388.4	H93.2	388	H93
C0154235	264.4	E50.4	264	E50
C0157721	694.61	H13.3	694	H13
C0158512	738.2	M95.3	738	M95
C0155852	478.5	J38.3	478	J38
C0032797	666|666.1	O72	666	O72
C0007820	437.9|438.99	I60-I69.9|I67.9	437|438	I60-I69|I67
C0027030	134.0	B87|B87.9	134	B87
C0152500	006.1	A06.1	006	A06
C0156156	560.31	K56.3	560	K56
C0156180	568	K66	568	K66
C0435630	814	S52.6	814	S52
C0160689	901|901.9	S25|S25.9	901	S25
C0302360	004.2	A03.2	004	A03
C0032914	642.4	O14.9	642	O14
C0161713	987.2	T59.0	987	T59
C0269905	667.0	O73.0	667	O73
C0028949	626.1	N91.5	626	N91
C0481487	V43.5	Z96.0	V43	Z96
C0346402	194.0	C74.0	194	C74
C0153508	165.9	C39.9	165	C39
C0496723	V12.4|V12.40	Z86.6	V12	Z86
C0042979	302.82	F65.3	302	F65
C0260564	V24.2	Z39.2	V24	Z39
C0029871	077.8	B30.8	077	B30
C0036974	785.50	R57.9	785	R57
C0018378	357.0	G61.0	357	G61
C0856761	453.0	I82.0	453	I82
C0015423	374.9	H02.9	374	H02
C0566742	663.1	O69.1	663	O69
C3537055	685.0	L05.0	685	L05
C0478056	753.29	Q62.3	753	Q62
C0156217	576	K83	576	K83
C0700503	053.0	B01.0|B02.1	053	B01|B02
C0017606	365.2|365.20	H40.2	365	H40
C0012236	279.11	D82.1	279	D82
C0085215	256.3|256.39	E28.3	256	E28
C0153635	191.1	C71.1	191	C71
C0038358	531	K25	531	K25
C0159011	778.2	P80.0	778	P80
C0260758	V54.9	Z47.9	V54	Z47
C0153994	218.1	D25.1	218	D25
C0037383	784.99	R06.7	784	R06
C0156246	589.1	N27.1	589	N27
C0348499	277.39	E85.8	277	E85
C0013447	388.9	H93.9	388	H93
C0037926	336.9	G95.2	336	G95
C0237987	282.2	D55.0	282	D55
C0161636	975.6	T48.5	975	T48
C0260422	V10.4	Z85.4	V10	Z85
C0155494	385.9	H74.9	385	H74
C0392485	750.27	Q38.7	750	Q38
C0160663	895	S98.1	895	S98
C0158773	756	Q68	756	Q68
C0155762	447.5	I77.5	447	I77
C0154752	355.6	G57.6	355	G57
C0002895	282.6|282.60	D57	282	D57
C0041970	599.1	N36.0	599	N36
C0158053	717|717.9	M23|M23.9	717	M23
C0009088	339.00|339.02	G44.0	339	G44
C0153374	145.1	C06.1	145	C06
C0348717	529.99	K00-K14.9	529	K00-K14
C0494479	339|339.89|339.99	G44	339	G44
C0040896	124	B75	124	B75
C0030424	121.2	B66.4	121	B66
C0025297	047.9	A87|A87.9	047	A87
C0496858	210.2	D11|D11.9	210	D11
C0002019	784.61	R48.0	784	R48
C0270096	767.3	P13.0	767	P13
C0156328	614.1	N70.1	614	N70
C0494723	531.6	K25.6	531	K25
C0014733	035	A46	035	A46
C0266853	521.01	K02.0	521	K02
C0033036	427.61	I49.1	427	I49
C0010692	595|595.9	N30|N30.9	595	N30
C0023885	572.0	K75.0	572	K75
C0038273	307.3	F98.4	307	F98
C0037023	527.2	K11.2	527	K11
C0009451	331.3	G91.0	331	G91
C0161018	935.0	T18.0	935	T18
C0019158	573.3	K75.9	573	K75
C0868755	669	O75	669	O75
C3241938	724.99	M40-M54.9|M53.9	724	M40-M54|M53
C0348194	056.9	B06.9	056	B06
C0155133	371.7	H18.7	371	H18
C0178298	709.9|709.99	L00-L99.9|L98.9	709	L00-L99|L98
C0023473	205.1	C92.1	205	C92
C0023510	288|288.9	D72.9	288	D72
C0020796	318.2	F73	318	F73
C0002881	282|282.0|282.9	D58.9	282	D58
C0153437	153.4	C18.0	153	C18
C0152423	744.23	Q17.2	744	Q17
C0006114	348.5	G93.6	348	G93
C0348860	403.91	I12.0	403	I12
C0751362	347|347.01	G47.4	347	G47
C0432581	143.1	C03.1	143	C03
C0261588	879.0	Y84.0	879	Y84
C0158457	735|735.9	M20.6	735	M20
C0495106	624.01	N90.0	624	N90
C0154000	221	D28	221	D28
C0496912	235.6	D38.0	235	D38
C0153516	170.6	C41.4	170	C41
C0006420	947|947.9	T28.4	947	T28
C0478000	747.2|747.29	Q25.4	747	Q25
C0496973	965.00	T40.0	965	T40
C0426265	674.8	N85.3	674	N85
C0153259	114.2	B38.4	114	B38
C0027630	238.0	D48.0	238	D48
C0035440	391.9	I01.9	391	I01
C0392548	344.6	G83.4	344	G83
C0043397	060.0	A95.0	060	A95
C0452157	692.72	L56.2	692	L56
C0451926	692.3	L23.3	692	L23
C0267282	532.7	K26.7	532	K26
C0152061	087.0	A68.0	087	A68
C0266166	751.5	Q43.4	751	Q43
C0152436	752.42	Q52.3	752	Q52
C0022104	564.1	K58	564	K58
C0010674	277.0|277.00	E84|E84.9	277	E84
C0153322	134	B88	134	B88
C3714744	302.7|302.70	F52|F52.9	302	F52
C0155903	508.1	J70.1	508	J70
C0156100	550.00	K40.4	550	K40
C0022073	364.3	H20|H20.9	364	H20
C0017677	529.1	K14.1	529	K14
C0236831	333.1	G25.1	333	G25
C0267166	535	K29|K29.9	535	K29
C0155384	379.8	H57.8	379	H57
C0260334	507.0	J69.0	507	J69
C0003076	743.45	Q13.1	743	Q13
C0348287	127.9	B82.0	127	B82
C0260789	V59.5	Z52.5	V59	Z52
C0153324	134.8	B88.8	134	B88
C0024636	524.4	K07.4	524	K07
