umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0348727	530.8|530.89	K22.8	530	K22
C0340692	451.8|451.89	I80.8	451	I80
C0476303	788.99	R39.2	788	R39
C0158445	732.6	M92	732	M92
C0496621	V04.4	Z24.3	V04	Z24
C0269936	670.2	O85	670	O85
C0410005	728.79	M72.3|M72.4	728	M72
C0015696	571.0	K70.0	571	K70
C0156309	607.84	N48.4	607	N48
C0158767	755.64	Q68.2|Q74.1	755	Q68|Q74
C0260561	V24	Z39	V24	Z39
C0473878	123.0	B68.0	123	B68
C0156306	607.2	N48.2	607	N48
C0152258	366.18	H25.2	366	H25
C0157742	708.2	L50.2	708	L50
C0495350	763.9	P03.9	763	P03
C0019655	115|115.9	B39|B39.9	115	B39
C0161405	951.1	S04.2	951	S04
C0261803	934	Y44	934	Y44
C0029616	351.8	G51.8	351	G51
C0014742	695.1|695.10	L51|L51.9	695	L51
C2047520	272.2	E78.2	272	E78
C0007107	161|161.9	C32|C32.9	161	C32
C0741160	441.5	I71.8	441	I71
C0153996	219	D26|D26.9	219	D26
C0153570	180.1	C53.1	180	C53
C0021099	684	L01|L01.0	684	L01
C0040765	302.5	F64.0	302	F64
C0162870	442.2	I72.3	442	I72
C0154686	336.2	G32.0	336	G32
C0702157	282.46	D56.3	282	D56
C1279412	359.3	G72.3	359	G72
C0037672	307.46	F51.3	307	F51
C0010823	078.5	B25|B25.9	078	B25
C0013364	742.8	G90.1	742	G90
C0019087	287.9	D69.9	287	D69
C0011407	522.1	K04.1	522	K04
C0029635	278.8	E67	278	E67
C0260739	V52.1	Z44.1	V52	Z44
C0018991	342.9	G81|G81.9	342	G81
C0154199	254|254.9	E32|E32.9	254	E32
C0161741	992.7	T67.7	992	T67
C0033575	602.9	N42.9	602	N42
C0018190	099.2	A58	099	A58
C0496758	144.1	C04.1	144	C04
C0004997	220	D27	220	D27
C0747273	142.0	C07	142	C07
C1510504	764.2	P05.2	764	P05
C0278008	787.99	R19.4	787	R19
C0017665	583.1	N03.2	583	N03
C0029482	133.8	B88.0	133	B88
C0154007	222.0	D29.2	222	D29
C0015397	360|360.9|379.90	H44|H44.9	360|379	H44
C0155805	461.1	J01.1	461	J01
C0031572	300.23	F40.1	300	F40
C0496946	237.1	D44.5	237	D44
C0154010	222.3	D29.3	222	D29
C0480686	968.1	Y01	968	Y01
C0496943	237.4	D44.2	237	D44
C0030328	729.30	M35.6	729	M35
C0152226	374.2|374.20	H02.2	374	H02
C0266001	757.5	Q84.4	757	Q84
C0010278	756.0	Q75.0	756	Q75
C0153167	094.3	A52.2	094	A52
C0242490	726.9|726.90	M77.9	726	M77
C0156409	627.3	N95.2	627	N95
C0042842	264|264.9	E50|E50.9	264	E50
C1313951	V59.0	Z52.0	V59	Z52
C0007099	234.9|234.99	D09.9	234	D09
C0348992	114.0	B38.0	114	B38
C0149793	362.34	G45.3	362	G45
C3812903	665.1	O71.1	665	O71
C0677061	724.1	M54.6	724	M54
C0260414	V10.1	Z85.1	V10	Z85
C2939144	526.0	K09.0	526	K09
C0375306	441.7	I71.6	441	I71
C0152229	798.9	R98	798	R98
C0023418	208|208.9	C95|C95.9	208	C95
C0003862	719.4|719.40	M25.5	719	M25
C0004767	616.2	N75.0	616	N75
C0019554	835	S73.0	835	S73
C0496854	230.8	D01.5	230	D01
C0154241	269|269.8	E50-E64.9|E63	269	E50-E64|E63
C1140680	183.0	C56	183	C56
C0152421	744.22	Q17.1	744	Q17
C0266449	742.9	Q04.9	742	Q04
C0152096	758.2	Q91.3	758	Q91
C0478581	V56.8	Z49.2	V56	Z49
C0153690	198.5	C79.5	198	C79
C0260508	V16.2	Z80.2	V16	Z80
C0520482	300.81	F45.0	300	F45
C0481459	V27.2	Z37.2	V27	Z37
C4721400	378.4|378.40	H50.5	378	H50
C0013679	994|995.99	T66-T78.9|T75	994|995	T66-T78|T75
C0270221	775.0	P70.1	775	P70
C0263537	703.8	L60.2	703	L60
C0158849	764	P05	764	P05
C0261548	873.4	Y63.4	873	Y63
C0155184	373.8	H01	373	H01
C0010324	277.4	E80.5	277	E80
C0155334	378.3	H50.4	378	H50
C0751937	352.0	G52.0	352	G52
C0022782	607.0	N48.0	607	N48
C0161787	996.7	T85	996	T85
C0270742	333.71	G80.3	333	G80
C0159013	778.4	P81	778	P81
C0153676	197.0	C78.0	197	C78
C0153932	210.0	D10.0	210	D10
C0261518	870.6	Y60.5	870	Y60
C0678189	272.0	E78.0	272	E78
C0023066	478.75	J38.5	478	J38
C0153384	146.1	C09.0	146	C09
C0343922	116.0	B40.3	116	B40
C0205930	733.7	M89.0	733	M89
C0024225	457.2	I89.1	457	I89
C0153285	117.6	B48.2	117	B48
C0023290	085.0	B55.0	085	B55
C0158679	751.4	Q43.3	751	Q43
C0178364	999.9	Y36.9	999	Y36
C0272412	289.59	D73.3	289	D73
C0011974	691.0	L22	691	L22
C0015806	820	S72.0	820	S72
C0029495	245.8	E06.5	245	E06
C0153108	076.1	A71.1	076	A71
C0494731	533.5	K27.5	533	K27
C0004771	088.0	A44|A44.9	088	A44
C0029182	376|376.9	H05|H05.9	376	H05
C0041351	021|021.9	A21|A21.9	021	A21
C0478483	999.59	T80.6	999	T80
C0343666	090.0	A50.0	090	A50
C0011251	297|297.1	F22.0	297	F22
C0023702	994.0	T75.0	994	T75
C0154837	362.2	H35.2	362	H35
C0261950	949|949.9	Y59	949	Y59
C0018784	389.1|389.10	H90.5	389	H90
C0404919	634.61	O03.2	634	O03
C0013720	756.83	Q79.6	756	Q79
C0153529	172.0	C43.0	172	C43
C0153615	188.7	C67.7	188	C67
C0270246	777.1	P76.0	777	P76
C0156300	603.1	N43.1	603	N43
C0153511	170.1	C41.1	170	C41
C0043116	335.0	G12.0	335	G12
C0233762	780.1	R44.0	780	R44
C0261590	879.2	Y84.2	879	Y84
C0477835	656.7	O43.8	656	O43
C0154091	233.7	D09.0	233	D09
C0007286	354.0	G56.0	354	G56
C0344297	363.4|363.40	H31.1	363	H31
C0159075	791.1	R82.0	791	R82
C0159009	778	P80-P83.9	778	P80-P83
C0154143	242.2	E05.2	242	E05
C0038017	756.12	Q76.2	756	Q76
C0702159	284.0	D61.0	284	D61
C0020496	733.3	M85.2	733	M85
C0040798	728.12	M61.0	728	M61
C0014058	323	G04|G04.9	323	G04
C0039145	336.0	G95.0	336	G95
C0264906	426.13	I44.1	426	I44
C0009663	078.11	A63.0	078	A63
C0152432	754.44|755.64	Q68.5	754|755	Q68
C0149508	381.6|381.60	H68.1	381	H68
C0157259	661.1|662.0	O63.0	661|662	O63
C0029878	380.10	H60|H60.9	380	H60
C0496873	211.8	D20.0	211	D20
C0153467	158.9	C48.2	158	C48
C0020555	704.1	L68|L68.3|L68.9	704	L68
C0009941	V66.5	Z54.8	V66	Z54
C0477318	288.8	D72.8	288	D72
C0029856	727.09	M65.8	727	M65
C0152505	006.8	A06.8	006	A06
C0393939	358.2	G70.1	358	G70
C0153401	148.2	C13.1	148	C13
C0494843	693.1	L27.2	693	L27
C0015957	302.81	F65.0	302	F65
C0432763	923.11	S50.0	923	S50
C0700573	V22	Z34|Z34.9	V22	Z34
C0020541	572.3	K76.6	572	K76
C0040485	723.5	M43.6	723	M43
C0032310	480|480.9	J12.9	480	J12
C0012766	782.0	R20	782	R20
C0221260	703.8	L60.3	703	L60
C0154893	363.5|363.50	H31.2	363	H31
C0157669	676.8|676.80	O92.7	676	O92
C0348375	192.1	C70|C70.9	192	C70
C0007787	435.9	G45.9	435	G45
C0153659	195	C76|C76.7	195	C76
C0036278	709.2	L90.5	709	L90
C0031707	275.3	E83.3	275	E83
C0030764	302.2	F65.4	302	F65
C0034933	796.1	R29.2	796	R29
C0153978	215.5	D21.4	215	D21
C0153288	121	B66	121	B66
C0153364	143|143.9	C03|C03.9	143	C03
C0157408	667.1	O73.1	667	O73
C0154763	357.7	G62.2	357	G62
C0159849	822	S82.0	822	S82
C0155490	385.3|385.32	H71	385	H71
C0346782	172.4	C43.4	172	C43
C0348651	448.9	I78.8	448	I78
C0010035	371.5|371.50	H18.5	371	H18
C0156290	601.2	N41.2	601	N41
C0158339	727.6|727.60	M66.5	727	M66
C0261773	931.0	Y41.0	931	Y41
C0264778	397.0	I07.1	397	I07
C0154271	278.3	E67.1	278	E67
C0478550	V03.89	Z23.8	V03	Z23
C0001231	255.0	E24.3	255	E24
C0034525	990	T66	990	T66
C0153967	213.8	D16.3	213	D16
C0496656	V33.0	Z38.3	V33	Z38
C0236792	299.8	F84.5	299	F84
C2240369	V45.01	Z95.0	V45	Z95
C0023786	277.5	E76.0	277	E76
C0154040	227.0	D35.0	227	D35
C0412845	964.4	T45.6	964	T45
C0006060	082.1	A77.1	082	A77
C0405080	643.1	O21.1	643	O21
C0020565	611.1	N62	611	N62
C0740253	510.0	J86.0	510	J86
C2267227	307.51	F50.2	307	F50
C0158515	738.6	M95.5	738	M95
C0477373	346.8	G43.8	346	G43
C0153385	146.2	C09.1	146	C09
C0007642	682.9	L03|L03.9	682	L03
C0266616	744.24	Q16.2	744	Q16
C0007775	437.0	I67.2	437	I67
C0153494	163|163.9	C38.4	163	C38
C0153663	195.3	C76.3	195	C76
C0017250	302.6	F64|F64.9	302	F64
C0155992	532.0	K26.0	532	K26
C0476217	781.0	R25.0	781	R25
C0346867	183.5	C57.2	183	C57
C0433686	939.1	T19.3	939	T19
C0160666	896	S98.4	896	S98
C0432959	880	S41	880	S41
C0260489	V14.5	Z88.5	V14	Z88
C0339946	021.2	A21.2	021	A21
C0153089	070.6	B19.0	070	B19
C0149825	474.12	J35.2	474	J35
C0021141	253.6	E22.2	253	E22
C0376356	625.4	N94.3	625	N94
C0151970	530.2|530.20	K22.1	530	K22
C0496709	V19.0	Z82.1	V19	Z82
C0155469	384.8	H73.8	384	H73
C0154023	224.1	D31.6	224	D31
C0161327	948.0	T31.0	948	T31
C0154067	230.9	D01	230	D01
C0267180	537.4	K31.6	537	K31
C0271909	284.89	D61.1	284	D61
C0032763	564.2	K91.1	564	K91
C0476206	780.4	R42	780	R42
C0036528	197.6	C78.6	197	C78
C0156120	551.2|551.20	K43.1	551	K43
C0159139	800	S02.0	800	S02
C0022408	716.9|716.90|719.9|719.90	M00-M25.9|M15-M19.9|M19.9|M25.9	716|719	M00-M25|M15-M19|M19|M25
C0152067	111.1	B36.1	111	B36
C0029826	003.8	A02.8	003	A02
C0011263	290.4	F01.1	290	F01
C0474035	943.5	Y53.6	943	Y53
C0495689	781.1	R43	781	R43
C0160723	902.4|902.40	S35.4	902	S35
C0276180	059.01	B04	059	B04
C0728936	459.9|459.99	I00-I99.9	459	I00-I99
C2939175	277.01|777.1	P75	277|777	P75
C0019360	053|053.9	B02	053	B02
C0041330	015.0|015.00	M49.0	015	M49
C0152889	017.6|017.60	A18.7	017	A18
C0042974	286.4|287.8	D68.0	286|287	D68
C0161447	953.5	S34.4	953	S34
C0156042	534.0	K28.0	534	K28
C0275975	021.8	A21.7	021	A21
C0477891	763.1	P03.1	763	P03
C0343381	008.04	A04.3	008	A04
C0158644	748.60	Q33|Q33.9	748	Q33
C0392098	V42.6	Z94.2	V42	Z94
C1510410	781.1	R43.1	781	R43
C0410740	736.20	M20.0	736	M20
C0027726	581	N04|N04.9	581	N04
C0019693	042|042.99	B20-B24.9|B24	042	B20-B24|B24
C0155773	452	I81	452	I81
C0155111	371.23	H18.1	371	H18
C0154127	238.5	D47.0	238	D47
C0496955	238.2	D48.5	238	D48
C0154026	224.4	D31.1	224	D31
C0153933	210.1	D10.1	210	D10
C0263296	692.81	L25.0	692	L25
C0349358	996.61	T82.6	996	T82
C0348650	444.89	I74.8	444	I74
C0007868	622.1|622.10	N87|N87.9	622	N87
C1306557	459.81	I87.2	459	I87
C0030846	607|607.9	N48.9	607	N48
C0000832	641.2|641.20	O45|O45.9	641	O45
C0273529	955|955.9	S44|S44.9	955	S44
C0009592	348.4	G93.5	348	G93
C0266404	752.43	Q51.5	752	Q51
C0155114	371.3|371.30	H18.3	371	H18
C0348196	059.0|059.09	B08.0	059	B08
C0153606	187.9	C60-C63.9|C63.9	187	C60-C63|C63
C0260819	V64.3	Z53.8	V64	Z53
C0260488	V14.4	Z88.4	V14	Z88
C0079924	658.0	O41.0	658	O41
C0029786	568.8|568.89	K66.8	568	K66
C0002994	995.1	T78.3	995	T78
C0036310	732.0	M42.0	732	M42
C0263353	698.3	L28.1	698	L28
C0023212	428.1	I50.1	428	I50
C0008683	473.1	J32.1	473	J32
C0003177	022.0	A22.0	022	A22
C1145628	337|337.9	G90|G90.9	337	G90
C0155957	527.3	K11.3	527	K11
C0154038	226	D34	226	D34
C0038843	V22.1	Z34.8	V22	Z34
C0260559	V23.8|V23.89	Z35.8	V23	Z35
C0019025	282.7	D56.4	282	D56
C0276667	114.3	B38.7	114	B38
C0260765	V55.5	Z43.5	V55	Z43
C0158914	766	P08	766	P08
C0221352	755.11	Q70.1	755	Q70
C0154754	356	G60|G60.9	356	G60
C0030807	694.4	L10|L10.9	694	L10
C0014752	039.0	L08.1	039	L08
C0034067	492	J43|J43.9	492	J43
C0003028	705.0	L74.4	705	L74
C0154103	235.7	D38.1	235	D38
C0156291	601.3	N41.3	601	N41
C0156617	641.0	O44.0	641	O44
C0341960	646.1	O12.0	646	O12
C0260761	V55.1	Z43.1	V55	Z43
C0006899	127.5	B81.1	127	B81
C0004063	968.9	X85-Y09.9|Y09	968	X85-Y09|Y09
C0153419	151.2	C16.3	151	C16
C0158715	754.33	Q65.4	754	Q65
C0869062	716.80|719.80	M12.8	716|719	M12
C0029711	V50.1	Z41.1	V50	Z41
C0018197	446.3	M31.2	446	M31
C3537179	104.0	A65	104	A65
C0178362	978.9	Y35	978	Y35
C0152861	017.2|017.20	A18.2	017	A18
C0155956	527.0	K11.0	527	K11
C0154411	296.32	F33.1	296	F33
C0161530	964.2	T45.5	964	T45
C0001342	523.3|523.33	K05.2	523	K05
C0019623	202.3	C96.1	202	C96
C0004692	007.0	A07.0	007	A07
C0153448	155	C22	155	C22
C0348731	537.8|537.89	K31.8	537	K31
C0019288	553.00	K41	553	K41
C0476681	V65.44	Z71.7	V65	Z71
C0158981	775.1	P70.2	775	P70
C0032969	648.03	O24|O24.9	648	O24
C0002441	006.6	A06.7	006	A06
C0496763	142|142.9	C08.9	142	C08
C0178264	326.99	G00-G09.9	326	G00-G09
C0497081	872.3	Y62.3	872	Y62
C0337228	884.4	W06	884	W06
